relation,original_count,primekg_plus_count,shared,only_in_original,only_in_primekg_plus,pct_shared_of_original
anatomy_protein_present,3033804,1860930,797331,2236473,1063599,26.3
drug_drug,2672628,2855310,2494204,178424,361106,93.3
protein_protein,642150,765720,642024,126,123696,100.0
disease_phenotype_positive,300629,369608,189386,111243,180222,63.0
bioprocess_protein,289599,320402,215540,74059,104862,74.4
cellcomp_protein,166782,192902,137943,28839,54959,82.7
disease_protein,160813,516524,46809,114004,469715,29.1
molfunc_protein,139053,186978,126299,12754,60679,90.8
drug_effect,129568,121840,120934,8634,906,93.3
bioprocess_bioprocess,105772,85940,76820,28952,9120,72.6
pathway_protein,85292,94046,80436,4856,13610,94.3
disease_disease,64388,67720,26718,37670,41002,41.5
contraindication,61350,26826,17818,43532,9008,29.0
drug_protein,50936,62482,50436,500,12046,99.0
anatomy_protein_absent,39774,1476,2,39772,1474,0.0
phenotype_phenotype,37472,44358,35380,2092,8978,94.4
anatomy_anatomy,28064,29212,24670,3394,4542,87.9
molfunc_molfunc,27148,24950,20832,6316,4118,76.7
indication,18776,10006,5454,13322,4552,29.0
cellcomp_cellcomp,9690,9302,8478,1212,824,87.5
phenotype_protein,6660,6620,6616,44,4,99.3
off-label use,5136,2398,1630,3506,768,31.7
pathway_pathway,5070,5728,4922,148,806,97.1
exposure_disease,4608,4770,2714,1894,2056,58.9
exposure_exposure,4140,4884,3910,230,974,94.4
exposure_bioprocess,3250,4206,2924,326,1282,90.0
exposure_protein,2424,6086,2412,12,3674,99.5
disease_phenotype_negative,2386,1180,598,1788,582,25.1
exposure_molfunc,90,94,78,12,16,86.7
exposure_cellcomp,20,26,20,0,6,100.0
